Title,Type,Platforms
Volta por Cima,TV Show,"N, o, n,  , d, i, s, p, o, n, i, b, l, e,  , e, n,  , F, r, a, n, c, e"
Agatha All Along,TV Show,"N, o, n,  , d, i, s, p, o, n, i, b, l, e,  , e, n,  , F, r, a, n, c, e"
"Fugitivas, en busca de la libertad",TV Show,"N, o, n,  , d, i, s, p, o, n, i, b, l, e,  , e, n,  , F, r, a, n, c, e"
용감무쌍 용수정,TV Show,"N, o, n,  , d, i, s, p, o, n, i, b, l, e,  , e, n,  , F, r, a, n, c, e"
Tulsa King,TV Show,"N, o, n,  , d, i, s, p, o, n, i, b, l, e,  , e, n,  , F, r, a, n, c, e"
Strictly Come Dancing: It Takes Two,TV Show,"N, o, n,  , d, i, s, p, o, n, i, b, l, e,  , e, n,  , F, r, a, n, c, e"
Grey's Anatomy,TV Show,"N, o, n,  , d, i, s, p, o, n, i, b, l, e,  , e, n,  , F, r, a, n, c, e"
Kelders van Geheime,TV Show,"N, o, n,  , d, i, s, p, o, n, i, b, l, e,  , e, n,  , F, r, a, n, c, e"
Ready Steady Cook South Africa,TV Show,"N, o, n,  , d, i, s, p, o, n, i, b, l, e,  , e, n,  , F, r, a, n, c, e"
Les Simpson,TV Show,"N, o, n,  , d, i, s, p, o, n, i, b, l, e,  , e, n,  , F, r, a, n, c, e"
Mania de Você,TV Show,"N, o, n,  , d, i, s, p, o, n, i, b, l, e,  , e, n,  , F, r, a, n, c, e"
Al Ameel,TV Show,"N, o, n,  , d, i, s, p, o, n, i, b, l, e,  , e, n,  , F, r, a, n, c, e"
The Penguin,TV Show,"N, o, n,  , d, i, s, p, o, n, i, b, l, e,  , e, n,  , F, r, a, n, c, e"
New York Unité Spéciale,TV Show,"N, o, n,  , d, i, s, p, o, n, i, b, l, e,  , e, n,  , F, r, a, n, c, e"
Overflow,TV Show,"N, o, n,  , d, i, s, p, o, n, i, b, l, e,  , e, n,  , F, r, a, n, c, e"
Prison Break,TV Show,"Netflix, Netflix basic with Ads"
Ulice,TV Show,"N, o, n,  , d, i, s, p, o, n, i, b, l, e,  , e, n,  , F, r, a, n, c, e"
人民警察,TV Show,"N, o, n,  , d, i, s, p, o, n, i, b, l, e,  , e, n,  , F, r, a, n, c, e"
A Promessa,TV Show,"N, o, n,  , d, i, s, p, o, n, i, b, l, e,  , e, n,  , F, r, a, n, c, e"
春花焰,TV Show,"N, o, n,  , d, i, s, p, o, n, i, b, l, e,  , e, n,  , F, r, a, n, c, e"
श्रीमद् रामायण,TV Show,"N, o, n,  , d, i, s, p, o, n, i, b, l, e,  , e, n,  , F, r, a, n, c, e"
Binnelanders,TV Show,"N, o, n,  , d, i, s, p, o, n, i, b, l, e,  , e, n,  , F, r, a, n, c, e"
Pituca Sin Lucas,TV Show,"N, o, n,  , d, i, s, p, o, n, i, b, l, e,  , e, n,  , F, r, a, n, c, e"
Love Island,TV Show,"N, o, n,  , d, i, s, p, o, n, i, b, l, e,  , e, n,  , F, r, a, n, c, e"
Tulsa King,TV Show,"N, o, n,  , d, i, s, p, o, n, i, b, l, e,  , e, n,  , F, r, a, n, c, e"
Cacau,TV Show,"N, o, n,  , d, i, s, p, o, n, i, b, l, e,  , e, n,  , F, r, a, n, c, e"
Come Home Love: Lo and Behold,TV Show,"N, o, n,  , d, i, s, p, o, n, i, b, l, e,  , e, n,  , F, r, a, n, c, e"
Senhora do Mar,TV Show,"N, o, n,  , d, i, s, p, o, n, i, b, l, e,  , e, n,  , F, r, a, n, c, e"
Een Eigen Huis,TV Show,"N, o, n,  , d, i, s, p, o, n, i, b, l, e,  , e, n,  , F, r, a, n, c, e"
Pulang Araw,TV Show,"N, o, n,  , d, i, s, p, o, n, i, b, l, e,  , e, n,  , F, r, a, n, c, e"
"Plus belle la vie, encore plus belle",TV Show,"N, o, n,  , d, i, s, p, o, n, i, b, l, e,  , e, n,  , F, r, a, n, c, e"
The Penguin,TV Show,"N, o, n,  , d, i, s, p, o, n, i, b, l, e,  , e, n,  , F, r, a, n, c, e"
¿Ganar o servir?,TV Show,"N, o, n,  , d, i, s, p, o, n, i, b, l, e,  , e, n,  , F, r, a, n, c, e"
Prison Break,TV Show,"Netflix, Netflix basic with Ads"
New York Unité Spéciale,TV Show,"N, o, n,  , d, i, s, p, o, n, i, b, l, e,  , e, n,  , F, r, a, n, c, e"
春花焰,TV Show,"N, o, n,  , d, i, s, p, o, n, i, b, l, e,  , e, n,  , F, r, a, n, c, e"
Teta Zozo,TV Show,"N, o, n,  , d, i, s, p, o, n, i, b, l, e,  , e, n,  , F, r, a, n, c, e"
Vandaag Inside,TV Show,"N, o, n,  , d, i, s, p, o, n, i, b, l, e,  , e, n,  , F, r, a, n, c, e"
Teacup,TV Show,"N, o, n,  , d, i, s, p, o, n, i, b, l, e,  , e, n,  , F, r, a, n, c, e"
Le Seigneur des anneaux : Les Anneaux de pouvoir,TV Show,"N, o, n,  , d, i, s, p, o, n, i, b, l, e,  , e, n,  , F, r, a, n, c, e"
Yalı Çapkını,TV Show,"N, o, n,  , d, i, s, p, o, n, i, b, l, e,  , e, n,  , F, r, a, n, c, e"
NCIS : Enquêtes spéciales,TV Show,"Canal+, Paramount Plus, Paramount+ Amazon Channel, Paramount Plus Apple TV Channel "
Diepe Waters,TV Show,"N, o, n,  , d, i, s, p, o, n, i, b, l, e,  , e, n,  , F, r, a, n, c, e"
برغم القانون,TV Show,"N, o, n,  , d, i, s, p, o, n, i, b, l, e,  , e, n,  , F, r, a, n, c, e"
Lang Leve de Liefde,TV Show,"N, o, n,  , d, i, s, p, o, n, i, b, l, e,  , e, n,  , F, r, a, n, c, e"
Game of Thrones,TV Show,"N, o, n,  , d, i, s, p, o, n, i, b, l, e,  , e, n,  , F, r, a, n, c, e"
The Rookie : Le Flic de Los Angeles,TV Show,"N, o, n,  , d, i, s, p, o, n, i, b, l, e,  , e, n,  , F, r, a, n, c, e"
Late Night with Seth Meyers,TV Show,"N, o, n,  , d, i, s, p, o, n, i, b, l, e,  , e, n,  , F, r, a, n, c, e"
Lucifer,TV Show,"N, o, n,  , d, i, s, p, o, n, i, b, l, e,  , e, n,  , F, r, a, n, c, e"
Cacau,TV Show,"N, o, n,  , d, i, s, p, o, n, i, b, l, e,  , e, n,  , F, r, a, n, c, e"
Senhora do Mar,TV Show,"N, o, n,  , d, i, s, p, o, n, i, b, l, e,  , e, n,  , F, r, a, n, c, e"
DAN DA DAN,TV Show,"N, o, n,  , d, i, s, p, o, n, i, b, l, e,  , e, n,  , F, r, a, n, c, e"
Een Eigen Huis,TV Show,"N, o, n,  , d, i, s, p, o, n, i, b, l, e,  , e, n,  , F, r, a, n, c, e"
Dexter,TV Show,"N, o, n,  , d, i, s, p, o, n, i, b, l, e,  , e, n,  , F, r, a, n, c, e"
Pulang Araw,TV Show,"N, o, n,  , d, i, s, p, o, n, i, b, l, e,  , e, n,  , F, r, a, n, c, e"
Shameless,TV Show,"N, o, n,  , d, i, s, p, o, n, i, b, l, e,  , e, n,  , F, r, a, n, c, e"
"Plus belle la vie, encore plus belle",TV Show,"N, o, n,  , d, i, s, p, o, n, i, b, l, e,  , e, n,  , F, r, a, n, c, e"
Le Tonight Show,TV Show,"N, o, n,  , d, i, s, p, o, n, i, b, l, e,  , e, n,  , F, r, a, n, c, e"
Watch What Happens Live with Andy Cohen,TV Show,"N, o, n,  , d, i, s, p, o, n, i, b, l, e,  , e, n,  , F, r, a, n, c, e"
Good Doctor,TV Show,"N, o, n,  , d, i, s, p, o, n, i, b, l, e,  , e, n,  , F, r, a, n, c, e"
Rüzgarlı Tepe,TV Show,"N, o, n,  , d, i, s, p, o, n, i, b, l, e,  , e, n,  , F, r, a, n, c, e"
Esprits criminels,TV Show,"N, o, n,  , d, i, s, p, o, n, i, b, l, e,  , e, n,  , F, r, a, n, c, e"
No Rancho Fundo,TV Show,"N, o, n,  , d, i, s, p, o, n, i, b, l, e,  , e, n,  , F, r, a, n, c, e"
The Resident,TV Show,"N, o, n,  , d, i, s, p, o, n, i, b, l, e,  , e, n,  , F, r, a, n, c, e"
Yellowstone,TV Show,"N, o, n,  , d, i, s, p, o, n, i, b, l, e,  , e, n,  , F, r, a, n, c, e"
Vikings,TV Show,"N, o, n,  , d, i, s, p, o, n, i, b, l, e,  , e, n,  , F, r, a, n, c, e"
食贫道,TV Show,"N, o, n,  , d, i, s, p, o, n, i, b, l, e,  , e, n,  , F, r, a, n, c, e"
Blacklist,TV Show,"N, o, n,  , d, i, s, p, o, n, i, b, l, e,  , e, n,  , F, r, a, n, c, e"
"Suits, avocats sur mesure",TV Show,"Amazon Prime Video, Molotov TV"
The Walking Dead,TV Show,"N, o, n,  , d, i, s, p, o, n, i, b, l, e,  , e, n,  , F, r, a, n, c, e"
Cobra Kai,TV Show,"N, o, n,  , d, i, s, p, o, n, i, b, l, e,  , e, n,  , F, r, a, n, c, e"
Vandaag Inside,TV Show,"N, o, n,  , d, i, s, p, o, n, i, b, l, e,  , e, n,  , F, r, a, n, c, e"
Dr House,TV Show,"Canal+, Cine+ OCS Amazon Channel "
Lost : Les Disparus,TV Show,"N, o, n,  , d, i, s, p, o, n, i, b, l, e,  , e, n,  , F, r, a, n, c, e"
S.W.A.T.,TV Show,"N, o, n,  , d, i, s, p, o, n, i, b, l, e,  , e, n,  , F, r, a, n, c, e"
Rick et Morty,TV Show,"N, o, n,  , d, i, s, p, o, n, i, b, l, e,  , e, n,  , F, r, a, n, c, e"
Jujutsu Kaisen,TV Show,"N, o, n,  , d, i, s, p, o, n, i, b, l, e,  , e, n,  , F, r, a, n, c, e"
The Boys,TV Show,"N, o, n,  , d, i, s, p, o, n, i, b, l, e,  , e, n,  , F, r, a, n, c, e"
The Tonight Show avec Johnny Carson,TV Show,"N, o, n,  , d, i, s, p, o, n, i, b, l, e,  , e, n,  , F, r, a, n, c, e"
Peaky Blinders,TV Show,"N, o, n,  , d, i, s, p, o, n, i, b, l, e,  , e, n,  , F, r, a, n, c, e"
Inspecteur Barnaby,TV Show,Shadowz Amazon Channel
Les Griffin,TV Show,"N, o, n,  , d, i, s, p, o, n, i, b, l, e,  , e, n,  , F, r, a, n, c, e"
Diepe Waters,TV Show,"N, o, n,  , d, i, s, p, o, n, i, b, l, e,  , e, n,  , F, r, a, n, c, e"
The Walking Dead : Daryl Dixon,TV Show,"N, o, n,  , d, i, s, p, o, n, i, b, l, e,  , e, n,  , F, r, a, n, c, e"
忍たま乱太郎,TV Show,"N, o, n,  , d, i, s, p, o, n, i, b, l, e,  , e, n,  , F, r, a, n, c, e"
The Late Show with Stephen Colbert,TV Show,"N, o, n,  , d, i, s, p, o, n, i, b, l, e,  , e, n,  , F, r, a, n, c, e"
しーくれっとみっしょん～潜入捜査官は絶対に負けない！～,TV Show,"N, o, n,  , d, i, s, p, o, n, i, b, l, e,  , e, n,  , F, r, a, n, c, e"
"New York, police judiciaire",TV Show,"N, o, n,  , d, i, s, p, o, n, i, b, l, e,  , e, n,  , F, r, a, n, c, e"
برغم القانون,TV Show,"N, o, n,  , d, i, s, p, o, n, i, b, l, e,  , e, n,  , F, r, a, n, c, e"
The Late Late Show with Craig Ferguson,TV Show,"N, o, n,  , d, i, s, p, o, n, i, b, l, e,  , e, n,  , F, r, a, n, c, e"
拜托了，花戎少女,TV Show,"N, o, n,  , d, i, s, p, o, n, i, b, l, e,  , e, n,  , F, r, a, n, c, e"
Star Academy,TV Show,"N, o, n,  , d, i, s, p, o, n, i, b, l, e,  , e, n,  , F, r, a, n, c, e"
Re:ZERO -Starting Life in Another World-,TV Show,"N, o, n,  , d, i, s, p, o, n, i, b, l, e,  , e, n,  , F, r, a, n, c, e"
Outer Banks,TV Show,Amazon Prime Video
House of the Dragon,TV Show,"N, o, n,  , d, i, s, p, o, n, i, b, l, e,  , e, n,  , F, r, a, n, c, e"
The Price Is Right,TV Show,"N, o, n,  , d, i, s, p, o, n, i, b, l, e,  , e, n,  , F, r, a, n, c, e"
Bones,TV Show,Disney Plus
Heartland,TV Show,Shadowz
Young Sheldon,TV Show,"N, o, n,  , d, i, s, p, o, n, i, b, l, e,  , e, n,  , F, r, a, n, c, e"
9-1-1,TV Show,"N, o, n,  , d, i, s, p, o, n, i, b, l, e,  , e, n,  , F, r, a, n, c, e"
"Miraculous, les aventures de Ladybug et Chat Noir",TV Show,"N, o, n,  , d, i, s, p, o, n, i, b, l, e,  , e, n,  , F, r, a, n, c, e"
Mentalist,TV Show,Paramount Plus Apple TV Channel 
Waku Waku,TV Show,"N, o, n,  , d, i, s, p, o, n, i, b, l, e,  , e, n,  , F, r, a, n, c, e"
Chicago Fire,TV Show,"N, o, n,  , d, i, s, p, o, n, i, b, l, e,  , e, n,  , F, r, a, n, c, e"
Duel Masters,TV Show,"N, o, n,  , d, i, s, p, o, n, i, b, l, e,  , e, n,  , F, r, a, n, c, e"
Mentalist,TV Show,Paramount Plus Apple TV Channel 
Vampire Diaries,TV Show,"N, o, n,  , d, i, s, p, o, n, i, b, l, e,  , e, n,  , F, r, a, n, c, e"
वागले की दुनिया,TV Show,"N, o, n,  , d, i, s, p, o, n, i, b, l, e,  , e, n,  , F, r, a, n, c, e"
House of the Dragon,TV Show,"N, o, n,  , d, i, s, p, o, n, i, b, l, e,  , e, n,  , F, r, a, n, c, e"
Re:ZERO -Starting Life in Another World-,TV Show,"N, o, n,  , d, i, s, p, o, n, i, b, l, e,  , e, n,  , F, r, a, n, c, e"
ダウンタウンのガキの使いやあらへんで！,TV Show,"N, o, n,  , d, i, s, p, o, n, i, b, l, e,  , e, n,  , F, r, a, n, c, e"
Young Sheldon,TV Show,"N, o, n,  , d, i, s, p, o, n, i, b, l, e,  , e, n,  , F, r, a, n, c, e"
Inspecteur Barnaby,TV Show,Shadowz Amazon Channel
Na Wspólnej,TV Show,"N, o, n,  , d, i, s, p, o, n, i, b, l, e,  , e, n,  , F, r, a, n, c, e"
Ranma ½,TV Show,"N, o, n,  , d, i, s, p, o, n, i, b, l, e,  , e, n,  , F, r, a, n, c, e"
След,TV Show,"N, o, n,  , d, i, s, p, o, n, i, b, l, e,  , e, n,  , F, r, a, n, c, e"
Chicago Fire,TV Show,"N, o, n,  , d, i, s, p, o, n, i, b, l, e,  , e, n,  , F, r, a, n, c, e"
你好，星期六,TV Show,"N, o, n,  , d, i, s, p, o, n, i, b, l, e,  , e, n,  , F, r, a, n, c, e"
Le Daily Show,TV Show,"N, o, n,  , d, i, s, p, o, n, i, b, l, e,  , e, n,  , F, r, a, n, c, e"
Monstres : L'Histoire de Lyle et Erik Menendez,TV Show,"N, o, n,  , d, i, s, p, o, n, i, b, l, e,  , e, n,  , F, r, a, n, c, e"
Kamen Rider,TV Show,"N, o, n,  , d, i, s, p, o, n, i, b, l, e,  , e, n,  , F, r, a, n, c, e"
El secreto del río,TV Show,"N, o, n,  , d, i, s, p, o, n, i, b, l, e,  , e, n,  , F, r, a, n, c, e"
P-Valley,TV Show,"N, o, n,  , d, i, s, p, o, n, i, b, l, e,  , e, n,  , F, r, a, n, c, e"
乡村爱情,TV Show,"N, o, n,  , d, i, s, p, o, n, i, b, l, e,  , e, n,  , F, r, a, n, c, e"
American Dad!,TV Show,"FILMO, Shadowz, Universcine, Universcine Amazon Channel, Filmo Amazon Channel, Molotov TV"
Blue Lock,TV Show,"N, o, n,  , d, i, s, p, o, n, i, b, l, e,  , e, n,  , F, r, a, n, c, e"
De Avondshow met Arjen Lubach,TV Show,"N, o, n,  , d, i, s, p, o, n, i, b, l, e,  , e, n,  , F, r, a, n, c, e"
Mayday : Dangers dans le ciel,TV Show,"Canal+, Paramount+ Amazon Channel"
The Late Late Show with James Corden,TV Show,"N, o, n,  , d, i, s, p, o, n, i, b, l, e,  , e, n,  , F, r, a, n, c, e"
SEAL Team,TV Show,"N, o, n,  , d, i, s, p, o, n, i, b, l, e,  , e, n,  , F, r, a, n, c, e"
Friends,TV Show,"N, o, n,  , d, i, s, p, o, n, i, b, l, e,  , e, n,  , F, r, a, n, c, e"
Rüzgarlı Tepe,TV Show,"N, o, n,  , d, i, s, p, o, n, i, b, l, e,  , e, n,  , F, r, a, n, c, e"
Chicago Police Department,TV Show,"N, o, n,  , d, i, s, p, o, n, i, b, l, e,  , e, n,  , F, r, a, n, c, e"
猪猪侠,TV Show,"N, o, n,  , d, i, s, p, o, n, i, b, l, e,  , e, n,  , F, r, a, n, c, e"
Flash,TV Show,"N, o, n,  , d, i, s, p, o, n, i, b, l, e,  , e, n,  , F, r, a, n, c, e"
東張西望,TV Show,"N, o, n,  , d, i, s, p, o, n, i, b, l, e,  , e, n,  , F, r, a, n, c, e"
Stranger Things,TV Show,"N, o, n,  , d, i, s, p, o, n, i, b, l, e,  , e, n,  , F, r, a, n, c, e"
The Bidding Room,TV Show,"N, o, n,  , d, i, s, p, o, n, i, b, l, e,  , e, n,  , F, r, a, n, c, e"
Dragon Ball Z,TV Show,"N, o, n,  , d, i, s, p, o, n, i, b, l, e,  , e, n,  , F, r, a, n, c, e"
Star Wars : The Clone Wars,TV Show,"N, o, n,  , d, i, s, p, o, n, i, b, l, e,  , e, n,  , F, r, a, n, c, e"
The Seven Deadly Sins: Four Knights of the Apocalypse,TV Show,"N, o, n,  , d, i, s, p, o, n, i, b, l, e,  , e, n,  , F, r, a, n, c, e"
开心超人联盟,TV Show,"N, o, n,  , d, i, s, p, o, n, i, b, l, e,  , e, n,  , F, r, a, n, c, e"
Фитиль,TV Show,"N, o, n,  , d, i, s, p, o, n, i, b, l, e,  , e, n,  , F, r, a, n, c, e"
"Miraculous, les aventures de Ladybug et Chat Noir",TV Show,"N, o, n,  , d, i, s, p, o, n, i, b, l, e,  , e, n,  , F, r, a, n, c, e"
정글의 법칙,TV Show,"N, o, n,  , d, i, s, p, o, n, i, b, l, e,  , e, n,  , F, r, a, n, c, e"
Les Experts,TV Show,"N, o, n,  , d, i, s, p, o, n, i, b, l, e,  , e, n,  , F, r, a, n, c, e"
Kuruluş Osman,TV Show,"N, o, n,  , d, i, s, p, o, n, i, b, l, e,  , e, n,  , F, r, a, n, c, e"
AIBOU: Tokyo Detective Duo,TV Show,"N, o, n,  , d, i, s, p, o, n, i, b, l, e,  , e, n,  , F, r, a, n, c, e"
슈퍼맨이 돌아왔다,TV Show,"N, o, n,  , d, i, s, p, o, n, i, b, l, e,  , e, n,  , F, r, a, n, c, e"
Sur les lieux du crime,TV Show,"N, o, n,  , d, i, s, p, o, n, i, b, l, e,  , e, n,  , F, r, a, n, c, e"
Futurama,TV Show,"N, o, n,  , d, i, s, p, o, n, i, b, l, e,  , e, n,  , F, r, a, n, c, e"
Charmsukh,TV Show,"N, o, n,  , d, i, s, p, o, n, i, b, l, e,  , e, n,  , F, r, a, n, c, e"
Hellbound,TV Show,"N, o, n,  , d, i, s, p, o, n, i, b, l, e,  , e, n,  , F, r, a, n, c, e"
Match of the Day,TV Show,"N, o, n,  , d, i, s, p, o, n, i, b, l, e,  , e, n,  , F, r, a, n, c, e"
Reacher,TV Show,"N, o, n,  , d, i, s, p, o, n, i, b, l, e,  , e, n,  , F, r, a, n, c, e"
乃木坂工事中,TV Show,"N, o, n,  , d, i, s, p, o, n, i, b, l, e,  , e, n,  , F, r, a, n, c, e"
7de Laan,TV Show,"N, o, n,  , d, i, s, p, o, n, i, b, l, e,  , e, n,  , F, r, a, n, c, e"
Supergirl,TV Show,"N, o, n,  , d, i, s, p, o, n, i, b, l, e,  , e, n,  , F, r, a, n, c, e"
NCIS : Los Angeles,TV Show,"N, o, n,  , d, i, s, p, o, n, i, b, l, e,  , e, n,  , F, r, a, n, c, e"
Élite,TV Show,"N, o, n,  , d, i, s, p, o, n, i, b, l, e,  , e, n,  , F, r, a, n, c, e"
Fargo,TV Show,"N, o, n,  , d, i, s, p, o, n, i, b, l, e,  , e, n,  , F, r, a, n, c, e"
아이돌 라디오,TV Show,"N, o, n,  , d, i, s, p, o, n, i, b, l, e,  , e, n,  , F, r, a, n, c, e"
Souryo to Majiwaru Shikiyoku no Yoru ni...,TV Show,"N, o, n,  , d, i, s, p, o, n, i, b, l, e,  , e, n,  , F, r, a, n, c, e"
SPY x FAMILY,TV Show,"N, o, n,  , d, i, s, p, o, n, i, b, l, e,  , e, n,  , F, r, a, n, c, e"
霹靂布袋戲,TV Show,"N, o, n,  , d, i, s, p, o, n, i, b, l, e,  , e, n,  , F, r, a, n, c, e"
Honest Trailers,TV Show,"N, o, n,  , d, i, s, p, o, n, i, b, l, e,  , e, n,  , F, r, a, n, c, e"
Bob's Burgers,TV Show,"N, o, n,  , d, i, s, p, o, n, i, b, l, e,  , e, n,  , F, r, a, n, c, e"
Euphoria,TV Show,"N, o, n,  , d, i, s, p, o, n, i, b, l, e,  , e, n,  , F, r, a, n, c, e"
Hawaii 5-0,TV Show,"N, o, n,  , d, i, s, p, o, n, i, b, l, e,  , e, n,  , F, r, a, n, c, e"
Phinéas et Ferb,TV Show,"N, o, n,  , d, i, s, p, o, n, i, b, l, e,  , e, n,  , F, r, a, n, c, e"
香港八十系列,TV Show,"N, o, n,  , d, i, s, p, o, n, i, b, l, e,  , e, n,  , F, r, a, n, c, e"
Les 100,TV Show,"N, o, n,  , d, i, s, p, o, n, i, b, l, e,  , e, n,  , F, r, a, n, c, e"
Воронины,TV Show,"N, o, n,  , d, i, s, p, o, n, i, b, l, e,  , e, n,  , F, r, a, n, c, e"
Spartacus,TV Show,"N, o, n,  , d, i, s, p, o, n, i, b, l, e,  , e, n,  , F, r, a, n, c, e"
Late Show with David Letterman,TV Show,"N, o, n,  , d, i, s, p, o, n, i, b, l, e,  , e, n,  , F, r, a, n, c, e"
Fear the Walking Dead,TV Show,"N, o, n,  , d, i, s, p, o, n, i, b, l, e,  , e, n,  , F, r, a, n, c, e"
奔跑吧！兄弟,TV Show,"N, o, n,  , d, i, s, p, o, n, i, b, l, e,  , e, n,  , F, r, a, n, c, e"
NCIS: Origins,TV Show,"N, o, n,  , d, i, s, p, o, n, i, b, l, e,  , e, n,  , F, r, a, n, c, e"
Yarichin☆Bitch-bu,TV Show,"N, o, n,  , d, i, s, p, o, n, i, b, l, e,  , e, n,  , F, r, a, n, c, e"
Blue Exorcist,TV Show,"N, o, n,  , d, i, s, p, o, n, i, b, l, e,  , e, n,  , F, r, a, n, c, e"
"위대한 수업, 그레이트 마인즈",TV Show,"N, o, n,  , d, i, s, p, o, n, i, b, l, e,  , e, n,  , F, r, a, n, c, e"
Modern Family,TV Show,MGM Amazon Channel
2015考古进行时,TV Show,Amazon Prime Video
FBI,TV Show,"N, o, n,  , d, i, s, p, o, n, i, b, l, e,  , e, n,  , F, r, a, n, c, e"
